"Deaths registered weekly, by sex and age"
"Topic: |Deaths"
""
"Age, 31 December";"Total";"Total";"Total";"0 to 64 years";"0 to 64 years";"0 to 64 years";"65 to 79 years";"65 to 79 years";"65 to 79 years";"80 years or older";"80 years or older";"80 years or older"
"Sex";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female"
"Periods";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"2010 week 13";"2586";"1256";"1330";"440";"273";"167";"755";"425";"330";"1391";"558";"833"
"2010 week 14";"2472";"1177";"1295";"428";"256";"172";"716";"423";"293";"1328";"498";"830"
"2010 week 15";"2583";"1292";"1291";"446";"269";"177";"775";"480";"295";"1362";"543";"819"
"2010 week 16";"2581";"1282";"1299";"478";"281";"197";"792";"506";"286";"1311";"495";"816"
"2010 week 17";"2570";"1283";"1287";"450";"289";"161";"772";"462";"310";"1348";"532";"816"
"2010 week 18";"2536";"1212";"1324";"452";"268";"184";"755";"453";"302";"1329";"491";"838"
"2010 week 19";"2687";"1268";"1419";"536";"298";"238";"752";"472";"280";"1399";"498";"901"
"2010 week 20";"2525";"1211";"1314";"454";"268";"186";"750";"431";"319";"1321";"512";"809"
"2010 week 21";"2485";"1244";"1241";"466";"274";"192";"741";"453";"288";"1278";"517";"761"
"2010 week 22";"2567";"1247";"1320";"460";"264";"196";"818";"483";"335";"1289";"500";"789"
"2010 week 23";"2502";"1255";"1247";"444";"255";"189";"774";"468";"306";"1284";"532";"752"
"2010 week 24";"2372";"1163";"1209";"451";"280";"171";"737";"434";"303";"1184";"449";"735"
"2010 week 25";"2535";"1259";"1276";"469";"265";"204";"769";"466";"303";"1297";"528";"769"
"2010 week 26";"2580";"1233";"1347";"452";"281";"171";"735";"450";"285";"1393";"502";"891"
"2010 week 27";"2653";"1264";"1389";"486";"265";"221";"768";"458";"310";"1399";"541";"858"
"2010 week 28";"2499";"1234";"1265";"433";"265";"168";"734";"447";"287";"1332";"522";"810"
"2010 week 29";"2443";"1133";"1310";"428";"231";"197";"719";"411";"308";"1296";"491";"805"
"2010 week 30";"2314";"1124";"1190";"436";"257";"179";"724";"452";"272";"1154";"415";"739"
"2010 week 31";"2289";"1131";"1158";"440";"248";"192";"696";"432";"264";"1153";"451";"702"
"2010 week 32";"2381";"1137";"1244";"442";"251";"191";"749";"437";"312";"1190";"449";"741"
"2010 week 33";"2464";"1204";"1260";"491";"292";"199";"756";"440";"316";"1217";"472";"745"
"2010 week 34";"2277";"1115";"1162";"400";"250";"150";"733";"435";"298";"1144";"430";"714"
"2010 week 35";"2416";"1167";"1249";"433";"264";"169";"764";"448";"316";"1219";"455";"764"
"2010 week 36";"2433";"1180";"1253";"456";"259";"197";"725";"425";"300";"1252";"496";"756"
"2010 week 37";"2523";"1209";"1314";"472";"272";"200";"754";"427";"327";"1297";"510";"787"
"2010 week 38";"2594";"1285";"1309";"478";"274";"204";"789";"478";"311";"1327";"533";"794"
"2010 week 39";"2498";"1229";"1269";"487";"281";"206";"786";"493";"293";"1225";"455";"770"
"2010 week 40";"2598";"1278";"1320";"477";"281";"196";"797";"477";"320";"1324";"520";"804"
"2010 week 41";"2543";"1243";"1300";"494";"293";"201";"759";"449";"310";"1290";"501";"789"
"2010 week 42";"2555";"1269";"1286";"494";"299";"195";"762";"476";"286";"1299";"494";"805"
"2010 week 43";"2609";"1278";"1331";"465";"281";"184";"797";"467";"330";"1347";"530";"817"
"2010 week 44";"2559";"1220";"1339";"523";"318";"205";"775";"444";"331";"1261";"458";"803"
"2010 week 45";"2542";"1221";"1321";"466";"264";"202";"759";"428";"331";"1317";"529";"788"
"2010 week 46";"2519";"1229";"1290";"446";"264";"182";"771";"453";"318";"1302";"512";"790"
"2010 week 47";"2542";"1237";"1305";"466";"257";"209";"765";"467";"298";"1311";"513";"798"
"2010 week 48";"2736";"1355";"1381";"474";"278";"196";"814";"509";"305";"1448";"568";"880"
"2010 week 49";"2832";"1414";"1418";"518";"323";"195";"840";"500";"340";"1474";"591";"883"
"2010 week 50";"2873";"1407";"1466";"476";"267";"209";"880";"531";"349";"1517";"609";"908"
"2010 week 51";"2830";"1340";"1490";"498";"285";"213";"833";"492";"341";"1499";"563";"936"
"2010 week 52 (5 days)";"2060";"1019";"1041";"357";"212";"145";"631";"382";"249";"1072";"425";"647"
"2011 week 0 (2 days)";"824";"400";"424";"130";"77";"53";"223";"135";"88";"471";"188";"283"
"2011 week 1";"2917";"1408";"1509";"472";"275";"197";"813";"490";"323";"1632";"643";"989"
"2011 week 2";"2819";"1329";"1490";"478";"267";"211";"781";"453";"328";"1560";"609";"951"
"2011 week 3";"2624";"1254";"1370";"443";"259";"184";"764";"458";"306";"1417";"537";"880"
"2011 week 4";"2620";"1277";"1343";"465";"257";"208";"749";"446";"303";"1406";"574";"832"
"2011 week 5";"2728";"1327";"1401";"435";"251";"184";"801";"494";"307";"1492";"582";"910"
"2011 week 6";"2675";"1305";"1370";"450";"255";"195";"789";"473";"316";"1436";"577";"859"
"2011 week 7";"2621";"1302";"1319";"448";"265";"183";"767";"454";"313";"1406";"583";"823"
"2011 week 8";"2651";"1299";"1352";"454";"258";"196";"794";"476";"318";"1403";"565";"838"
"2011 week 9";"2686";"1324";"1362";"453";"273";"180";"785";"454";"331";"1448";"597";"851"
"2011 week 10";"2714";"1304";"1410";"447";"272";"175";"782";"449";"333";"1485";"583";"902"
"2011 week 11";"2727";"1291";"1436";"431";"231";"200";"777";"457";"320";"1519";"603";"916"
"2011 week 12";"2686";"1308";"1378";"463";"251";"212";"806";"489";"317";"1417";"568";"849"
"2011 week 13";"2739";"1342";"1397";"467";"282";"185";"783";"465";"318";"1489";"595";"894"
"2011 week 14";"2592";"1277";"1315";"424";"252";"172";"767";"440";"327";"1401";"585";"816"
"2011 week 15";"2652";"1282";"1370";"460";"273";"187";"769";"458";"311";"1423";"551";"872"
"2011 week 16";"2694";"1288";"1406";"419";"226";"193";"814";"455";"359";"1461";"607";"854"
"2011 week 17";"2591";"1227";"1364";"411";"233";"178";"740";"432";"308";"1440";"562";"878"
"2011 week 18";"2543";"1205";"1338";"445";"248";"197";"723";"431";"292";"1375";"526";"849"
"2011 week 19";"2606";"1262";"1344";"460";"268";"192";"767";"459";"308";"1379";"535";"844"
"2011 week 20";"2551";"1205";"1346";"464";"247";"217";"770";"456";"314";"1317";"502";"815"
"2011 week 21";"2542";"1228";"1314";"433";"256";"177";"773";"448";"325";"1336";"524";"812"
"2011 week 22";"2477";"1193";"1284";"424";"242";"182";"725";"428";"297";"1328";"523";"805"
"2011 week 23";"2479";"1212";"1267";"473";"276";"197";"754";"444";"310";"1252";"492";"760"
"2011 week 24";"2489";"1196";"1293";"417";"240";"177";"778";"449";"329";"1294";"507";"787"
"2011 week 25";"2413";"1141";"1272";"455";"250";"205";"714";"435";"279";"1244";"456";"788"
"2011 week 26";"2535";"1217";"1318";"478";"266";"212";"757";"453";"304";"1300";"498";"802"
"2011 week 27";"2625";"1316";"1309";"513";"301";"212";"772";"474";"298";"1340";"541";"799"
"2011 week 28";"2513";"1194";"1319";"454";"260";"194";"729";"428";"301";"1330";"506";"824"
"2011 week 29";"2361";"1122";"1239";"461";"272";"189";"695";"402";"293";"1205";"448";"757"
"2011 week 30";"2431";"1198";"1233";"434";"241";"193";"747";"453";"294";"1250";"504";"746"
"2011 week 31";"2486";"1198";"1288";"425";"263";"162";"802";"457";"345";"1259";"478";"781"
"2011 week 32";"2356";"1127";"1229";"415";"234";"181";"693";"434";"259";"1248";"459";"789"
"2011 week 33";"2415";"1207";"1208";"454";"276";"178";"757";"433";"324";"1204";"498";"706"
"2011 week 34";"2381";"1183";"1198";"429";"249";"180";"703";"417";"286";"1249";"517";"732"
"2011 week 35";"2458";"1162";"1296";"452";"254";"198";"746";"425";"321";"1260";"483";"777"
"2011 week 36";"2520";"1278";"1242";"451";"279";"172";"707";"437";"270";"1362";"562";"800"
"2011 week 37";"2380";"1110";"1270";"410";"225";"185";"725";"411";"314";"1245";"474";"771"
"2011 week 38";"2447";"1145";"1302";"463";"260";"203";"723";"413";"310";"1261";"472";"789"
"2011 week 39";"2593";"1201";"1392";"441";"241";"200";"789";"462";"327";"1363";"498";"865"
"2011 week 40";"2474";"1132";"1342";"419";"228";"191";"750";"422";"328";"1305";"482";"823"
"2011 week 41";"2537";"1244";"1293";"453";"266";"187";"790";"464";"326";"1294";"514";"780"
"2011 week 42";"2551";"1220";"1331";"406";"234";"172";"796";"466";"330";"1349";"520";"829"
"2011 week 43";"2658";"1268";"1390";"447";"251";"196";"797";"447";"350";"1414";"570";"844"
"2011 week 44";"2653";"1282";"1371";"512";"315";"197";"746";"434";"312";"1395";"533";"862"
"2011 week 45";"2567";"1210";"1357";"472";"284";"188";"786";"441";"345";"1309";"485";"824"
"2011 week 46";"2691";"1292";"1399";"494";"290";"204";"812";"480";"332";"1385";"522";"863"
"2011 week 47";"2740";"1332";"1408";"483";"264";"219";"790";"487";"303";"1467";"581";"886"
"2011 week 48";"2782";"1314";"1468";"482";"269";"213";"817";"471";"346";"1483";"574";"909"
"2011 week 49";"2786";"1349";"1437";"462";"276";"186";"865";"497";"368";"1459";"576";"883"
"2011 week 50";"2915";"1345";"1570";"509";"300";"209";"808";"458";"350";"1598";"587";"1011"
"2011 week 51";"2813";"1295";"1518";"450";"258";"192";"837";"490";"347";"1526";"547";"979"
"2011 week 52 (6 days)";"2413";"1132";"1281";"421";"237";"184";"684";"392";"292";"1308";"503";"805"
"2012 week 0 (1 day)";"411";"188";"223";"68";"40";"28";"109";"59";"50";"234";"89";"145"
"2012 week 1";"2930";"1419";"1511";"423";"237";"186";"852";"500";"352";"1655";"682";"973"
"2012 week 2";"2773";"1350";"1423";"468";"276";"192";"770";"436";"334";"1535";"638";"897"
"2012 week 3";"2785";"1322";"1463";"439";"238";"201";"766";"455";"311";"1580";"629";"951"
"2012 week 4";"2789";"1286";"1503";"407";"242";"165";"766";"415";"351";"1616";"629";"987"
"2012 week 5";"2815";"1363";"1452";"398";"232";"166";"801";"478";"323";"1616";"653";"963"
"2012 week 6";"3034";"1476";"1558";"470";"277";"193";"833";"488";"345";"1731";"711";"1020"
"2012 week 7";"3089";"1467";"1622";"469";"273";"196";"834";"491";"343";"1786";"703";"1083"
"2012 week 8";"3035";"1437";"1598";"430";"242";"188";"849";"497";"352";"1756";"698";"1058"
"2012 week 9";"3061";"1410";"1651";"476";"279";"197";"825";"469";"356";"1760";"662";"1098"
"2012 week 10";"2951";"1391";"1560";"495";"292";"203";"802";"479";"323";"1654";"620";"1034"
"2012 week 11";"2891";"1391";"1500";"442";"234";"208";"859";"509";"350";"1590";"648";"942"
"2012 week 12";"2817";"1326";"1491";"424";"234";"190";"828";"492";"336";"1565";"600";"965"
"2012 week 13";"2793";"1359";"1434";"418";"247";"171";"828";"482";"346";"1547";"630";"917"
"2012 week 14";"2805";"1374";"1431";"429";"262";"167";"800";"468";"332";"1576";"644";"932"
"2012 week 15";"2757";"1340";"1417";"466";"280";"186";"799";"489";"310";"1492";"571";"921"
"2012 week 16";"2786";"1330";"1456";"471";"270";"201";"796";"445";"351";"1519";"615";"904"
"2012 week 17";"2773";"1303";"1470";"433";"243";"190";"782";"447";"335";"1558";"613";"945"
"2012 week 18";"2609";"1241";"1368";"406";"225";"181";"771";"445";"326";"1432";"571";"861"
"2012 week 19";"2653";"1284";"1369";"449";"261";"188";"778";"460";"318";"1426";"563";"863"
"2012 week 20";"2537";"1238";"1299";"387";"233";"154";"759";"422";"337";"1391";"583";"808"
"2012 week 21";"2727";"1314";"1413";"480";"283";"197";"774";"461";"313";"1473";"570";"903"
"2012 week 22";"2558";"1225";"1333";"423";"232";"191";"764";"453";"311";"1371";"540";"831"
"2012 week 23";"2585";"1222";"1363";"433";"235";"198";"750";"435";"315";"1402";"552";"850"
"2012 week 24";"2558";"1231";"1327";"427";"240";"187";"775";"468";"307";"1356";"523";"833"
"2012 week 25";"2574";"1250";"1324";"438";"253";"185";"765";"447";"318";"1371";"550";"821"
"2012 week 26";"2561";"1250";"1311";"443";"277";"166";"797";"476";"321";"1321";"497";"824"
"2012 week 27";"2639";"1238";"1401";"506";"277";"229";"750";"449";"301";"1383";"512";"871"
"2012 week 28";"2450";"1188";"1262";"454";"268";"186";"712";"416";"296";"1284";"504";"780"
"2012 week 29";"2422";"1188";"1234";"434";"264";"170";"721";"431";"290";"1267";"493";"774"
"2012 week 30";"2559";"1253";"1306";"460";"285";"175";"770";"454";"316";"1329";"514";"815"
"2012 week 31";"2372";"1114";"1258";"385";"219";"166";"683";"427";"256";"1304";"468";"836"
"2012 week 32";"2359";"1135";"1224";"400";"224";"176";"727";"422";"305";"1232";"489";"743"
"2012 week 33";"2548";"1199";"1349";"436";"255";"181";"750";"436";"314";"1362";"508";"854"
"2012 week 34";"2534";"1232";"1302";"441";"256";"185";"721";"427";"294";"1372";"549";"823"
"2012 week 35";"2370";"1163";"1207";"423";"248";"175";"724";"445";"279";"1223";"470";"753"
"2012 week 36";"2540";"1220";"1320";"453";"270";"183";"754";"447";"307";"1333";"503";"830"
"2012 week 37";"2474";"1218";"1256";"432";"257";"175";"721";"450";"271";"1321";"511";"810"
"2012 week 38";"2390";"1172";"1218";"444";"252";"192";"715";"427";"288";"1231";"493";"738"
"2012 week 39";"2640";"1350";"1290";"463";"274";"189";"828";"505";"323";"1349";"571";"778"
"2012 week 40";"2523";"1223";"1300";"453";"257";"196";"767";"458";"309";"1303";"508";"795"
"2012 week 41";"2681";"1312";"1369";"464";"263";"201";"812";"469";"343";"1405";"580";"825"
"2012 week 42";"2666";"1277";"1389";"439";"265";"174";"841";"484";"357";"1386";"528";"858"
"2012 week 43";"2522";"1217";"1305";"444";"257";"187";"778";"474";"304";"1300";"486";"814"
"2012 week 44";"2646";"1307";"1339";"449";"265";"184";"819";"482";"337";"1378";"560";"818"
"2012 week 45";"2691";"1288";"1403";"478";"266";"212";"790";"461";"329";"1423";"561";"862"
"2012 week 46";"2729";"1339";"1390";"454";"256";"198";"841";"504";"337";"1434";"579";"855"
"2012 week 47";"2727";"1342";"1385";"460";"284";"176";"839";"495";"344";"1428";"563";"865"
"2012 week 48";"2731";"1349";"1382";"466";"266";"200";"840";"513";"327";"1425";"570";"855"
"2012 week 49";"2772";"1398";"1374";"493";"280";"213";"864";"526";"338";"1415";"592";"823"
"2012 week 50";"2911";"1388";"1523";"484";"278";"206";"898";"520";"378";"1529";"590";"939"
"2012 week 51";"2860";"1376";"1484";"487";"278";"209";"869";"508";"361";"1504";"590";"914"
"2012 week 52";"3003";"1451";"1552";"502";"295";"207";"906";"523";"383";"1595";"633";"962"
"2012 week 53";"397";"183";"214";"82";"45";"37";"100";"62";"38";"215";"76";"139"
"2013 week 1";"2550";"1187";"1363";"400";"224";"176";"732";"405";"327";"1418";"558";"860"
"2013 week 2";"3038";"1504";"1534";"463";"278";"185";"865";"532";"333";"1710";"694";"1016"
"2013 week 3";"3011";"1458";"1553";"467";"261";"206";"851";"516";"335";"1693";"681";"1012"
"2013 week 4";"3082";"1507";"1575";"491";"278";"213";"855";"529";"326";"1736";"700";"1036"
"2013 week 5";"3192";"1541";"1651";"487";"276";"211";"875";"533";"342";"1830";"732";"1098"
"2013 week 6";"3143";"1500";"1643";"475";"271";"204";"878";"527";"351";"1790";"702";"1088"
"2013 week 7";"3033";"1473";"1560";"446";"268";"178";"804";"476";"328";"1783";"729";"1054"
"2013 week 8";"3211";"1541";"1670";"464";"269";"195";"892";"541";"351";"1855";"731";"1124"
"2013 week 9";"3170";"1487";"1683";"455";"245";"210";"845";"482";"363";"1870";"760";"1110"
"2013 week 10";"3293";"1543";"1750";"457";"267";"190";"871";"515";"356";"1965";"761";"1204"
"2013 week 11";"3039";"1430";"1609";"441";"244";"197";"862";"517";"345";"1736";"669";"1067"
"2013 week 12";"3038";"1454";"1584";"445";"243";"202";"865";"507";"358";"1728";"704";"1024"
"2013 week 13";"3067";"1478";"1589";"434";"263";"171";"854";"505";"349";"1779";"710";"1069"
"2013 week 14";"2974";"1423";"1551";"446";"252";"194";"859";"513";"346";"1669";"658";"1011"
"2013 week 15";"3059";"1451";"1608";"472";"252";"220";"819";"488";"331";"1768";"711";"1057"
"2013 week 16";"2859";"1394";"1465";"432";"243";"189";"854";"516";"338";"1573";"635";"938"
"2013 week 17";"2727";"1289";"1438";"411";"224";"187";"819";"493";"326";"1497";"572";"925"
"2013 week 18";"2560";"1216";"1344";"398";"214";"184";"732";"425";"307";"1430";"577";"853"
"2013 week 19";"2652";"1200";"1452";"434";"251";"183";"771";"419";"352";"1447";"530";"917"
"2013 week 20";"2571";"1261";"1310";"408";"230";"178";"781";"478";"303";"1382";"553";"829"
"2013 week 21";"2499";"1185";"1314";"436";"221";"215";"782";"457";"325";"1281";"507";"774"
"2013 week 22";"2601";"1283";"1318";"447";"284";"163";"789";"468";"321";"1365";"531";"834"
"2013 week 23";"2577";"1244";"1333";"434";"236";"198";"772";"464";"308";"1371";"544";"827"
"2013 week 24";"2498";"1199";"1299";"414";"239";"175";"755";"448";"307";"1329";"512";"817"
"2013 week 25";"2539";"1256";"1283";"454";"274";"180";"754";"445";"309";"1331";"537";"794"
"2013 week 26";"2493";"1221";"1272";"407";"266";"141";"741";"450";"291";"1345";"505";"840"
"2013 week 27";"2533";"1212";"1321";"432";"246";"186";"761";"431";"330";"1340";"535";"805"
"2013 week 28";"2461";"1199";"1262";"407";"242";"165";"754";"460";"294";"1300";"497";"803"
"2013 week 29";"2488";"1241";"1247";"438";"272";"166";"740";"437";"303";"1310";"532";"778"
"2013 week 30";"2724";"1327";"1397";"436";"258";"178";"836";"508";"328";"1452";"561";"891"
"2013 week 31";"2486";"1155";"1331";"404";"240";"164";"770";"425";"345";"1312";"490";"822"
"2013 week 32";"2389";"1167";"1222";"416";"257";"159";"706";"423";"283";"1267";"487";"780"
"2013 week 33";"2442";"1150";"1292";"406";"242";"164";"723";"408";"315";"1313";"500";"813"
"2013 week 34";"2402";"1170";"1232";"418";"258";"160";"722";"431";"291";"1262";"481";"781"
"2013 week 35";"2436";"1187";"1249";"398";"222";"176";"749";"428";"321";"1289";"537";"752"
"2013 week 36";"2477";"1220";"1257";"424";"255";"169";"757";"438";"319";"1296";"527";"769"
"2013 week 37";"2311";"1111";"1200";"425";"251";"174";"678";"390";"288";"1208";"470";"738"
"2013 week 38";"2498";"1211";"1287";"447";"260";"187";"774";"474";"300";"1277";"477";"800"
"2013 week 39";"2369";"1138";"1231";"378";"219";"159";"775";"459";"316";"1216";"460";"756"
"2013 week 40";"2576";"1271";"1305";"456";"259";"197";"763";"462";"301";"1357";"550";"807"
"2013 week 41";"2604";"1266";"1338";"424";"248";"176";"795";"475";"320";"1385";"543";"842"
"2013 week 42";"2543";"1243";"1300";"451";"268";"183";"809";"470";"339";"1283";"505";"778"
"2013 week 43";"2679";"1309";"1370";"451";"262";"189";"793";"466";"327";"1435";"581";"854"
"2013 week 44";"2469";"1276";"1193";"449";"269";"180";"748";"470";"278";"1272";"537";"735"
"2013 week 45";"2503";"1283";"1220";"395";"236";"159";"768";"472";"296";"1340";"575";"765"
"2013 week 46";"2571";"1261";"1310";"436";"256";"180";"827";"479";"348";"1308";"526";"782"
"2013 week 47";"2565";"1237";"1328";"461";"247";"214";"798";"467";"331";"1306";"523";"783"
"2013 week 48";"2743";"1348";"1395";"455";"256";"199";"824";"488";"336";"1464";"604";"860"
"2013 week 49";"2598";"1261";"1337";"425";"255";"170";"778";"448";"330";"1395";"558";"837"
"2013 week 50";"2590";"1290";"1300";"405";"231";"174";"776";"481";"295";"1409";"578";"831"
"2013 week 51";"2787";"1398";"1389";"430";"267";"163";"884";"534";"350";"1473";"597";"876"
"2013 week 52";"2753";"1330";"1423";"469";"275";"194";"814";"476";"338";"1470";"579";"891"
"2013 week 53 (2 days)";"772";"374";"398";"107";"63";"44";"249";"153";"96";"416";"158";"258"
"2014 week 1 (5 days)";"1994";"984";"1010";"298";"173";"125";"611";"363";"248";"1085";"448";"637"
"2014 week 2";"2819";"1351";"1468";"434";"256";"178";"828";"486";"342";"1557";"609";"948"
"2014 week 3";"2740";"1316";"1424";"433";"257";"176";"783";"458";"325";"1524";"601";"923"
"2014 week 4";"2710";"1337";"1373";"421";"253";"168";"765";"455";"310";"1524";"629";"895"
"2014 week 5";"2708";"1294";"1414";"352";"184";"168";"770";"452";"318";"1586";"658";"928"
"2014 week 6";"2855";"1375";"1480";"449";"263";"186";"826";"483";"343";"1580";"629";"951"
"2014 week 7";"2796";"1333";"1463";"444";"263";"181";"815";"471";"344";"1537";"599";"938"
"2014 week 8";"2753";"1293";"1460";"414";"237";"177";"811";"469";"342";"1528";"587";"941"
"2014 week 9";"2713";"1299";"1414";"411";"234";"177";"738";"443";"295";"1564";"622";"942"
"2014 week 10";"2763";"1317";"1446";"445";"261";"184";"757";"440";"317";"1561";"616";"945"
"2014 week 11";"2770";"1340";"1430";"424";"240";"184";"835";"503";"332";"1511";"597";"914"
"2014 week 12";"2662";"1283";"1379";"427";"237";"190";"757";"454";"303";"1478";"592";"886"
"2014 week 13";"2690";"1299";"1391";"410";"245";"165";"789";"462";"327";"1491";"592";"899"
"2014 week 14";"2707";"1287";"1420";"397";"227";"170";"817";"467";"350";"1493";"593";"900"
"2014 week 15";"2592";"1220";"1372";"392";"213";"179";"727";"418";"309";"1473";"589";"884"
"2014 week 16";"2609";"1238";"1371";"408";"221";"187";"761";"448";"313";"1440";"569";"871"
"2014 week 17";"2610";"1277";"1333";"423";"239";"184";"768";"451";"317";"1419";"587";"832"
"2014 week 18";"2528";"1212";"1316";"407";"225";"182";"744";"444";"300";"1377";"543";"834"
"2014 week 19";"2618";"1280";"1338";"423";"244";"179";"817";"476";"341";"1378";"560";"818"
"2014 week 20";"2620";"1290";"1330";"443";"262";"181";"805";"486";"319";"1372";"542";"830"
"2014 week 21";"2559";"1211";"1348";"416";"249";"167";"732";"424";"308";"1411";"538";"873"
"2014 week 22";"2511";"1193";"1318";"402";"223";"179";"752";"430";"322";"1357";"540";"817"
"2014 week 23";"2499";"1213";"1286";"403";"236";"167";"745";"436";"309";"1351";"541";"810"
"2014 week 24";"2428";"1148";"1280";"384";"222";"162";"699";"419";"280";"1345";"507";"838"
"2014 week 25";"2442";"1165";"1277";"398";"226";"172";"738";"437";"301";"1306";"502";"804"
"2014 week 26";"2483";"1188";"1295";"378";"216";"162";"766";"417";"349";"1339";"555";"784"
"2014 week 27";"2653";"1263";"1390";"448";"247";"201";"773";"463";"310";"1432";"553";"879"
"2014 week 28";"2569";"1263";"1306";"451";"257";"194";"725";"428";"297";"1393";"578";"815"
"2014 week 29";"2809";"1385";"1424";"611";"336";"275";"828";"478";"350";"1370";"571";"799"
"2014 week 30";"2659";"1338";"1321";"416";"275";"141";"806";"491";"315";"1437";"572";"865"
"2014 week 31";"2501";"1225";"1276";"413";"247";"166";"755";"433";"322";"1333";"545";"788"
"2014 week 32";"2540";"1248";"1292";"414";"245";"169";"742";"443";"299";"1384";"560";"824"
"2014 week 33";"2423";"1186";"1237";"396";"220";"176";"729";"437";"292";"1298";"529";"769"
"2014 week 34";"2478";"1206";"1272";"393";"218";"175";"781";"468";"313";"1304";"520";"784"
"2014 week 35";"2678";"1230";"1448";"463";"256";"207";"781";"420";"361";"1434";"554";"880"
"2014 week 36";"2630";"1285";"1345";"430";"253";"177";"823";"488";"335";"1377";"544";"833"
"2014 week 37";"2529";"1230";"1299";"443";"265";"178";"761";"445";"316";"1325";"520";"805"
"2014 week 38";"2594";"1304";"1290";"410";"256";"154";"790";"449";"341";"1394";"599";"795"
"2014 week 39";"2483";"1146";"1337";"392";"222";"170";"782";"439";"343";"1309";"485";"824"
"2014 week 40";"2639";"1265";"1374";"444";"257";"187";"808";"470";"338";"1387";"538";"849"
"2014 week 41";"2615";"1249";"1366";"429";"238";"191";"780";"470";"310";"1406";"541";"865"
"2014 week 42";"2646";"1320";"1326";"440";"259";"181";"808";"485";"323";"1398";"576";"822"
"2014 week 43";"2562";"1216";"1346";"395";"216";"179";"817";"461";"356";"1350";"539";"811"
"2014 week 44";"2647";"1237";"1410";"442";"245";"197";"825";"465";"360";"1380";"527";"853"
"2014 week 45";"2650";"1245";"1405";"436";"231";"205";"781";"451";"330";"1433";"563";"870"
"2014 week 46";"2779";"1335";"1444";"434";"264";"170";"825";"480";"345";"1520";"591";"929"
"2014 week 47";"2777";"1375";"1402";"436";"257";"179";"850";"486";"364";"1491";"632";"859"
"2014 week 48";"2782";"1359";"1423";"425";"257";"168";"853";"495";"358";"1504";"607";"897"
"2014 week 49";"2868";"1397";"1471";"452";"267";"185";"865";"503";"362";"1551";"627";"924"
"2014 week 50";"3097";"1491";"1606";"474";"281";"193";"885";"497";"388";"1738";"713";"1025"
"2014 week 51";"3129";"1562";"1567";"477";"281";"196";"929";"560";"369";"1723";"721";"1002"
"2014 week 52";"2962";"1401";"1561";"393";"239";"154";"866";"488";"378";"1703";"674";"1029"
"2014 week 53 (3 days)";"1345";"617";"728";"191";"108";"83";"385";"216";"169";"769";"293";"476"
"2015 week 1 (4 days)";"1910";"905";"1005";"251";"153";"98";"511";"301";"210";"1148";"451";"697"
"2015 week 2";"3429";"1626";"1803";"443";"240";"203";"958";"578";"380";"2028";"808";"1220"
"2015 week 3";"3377";"1601";"1776";"432";"249";"183";"885";"524";"361";"2060";"828";"1232"
"2015 week 4";"3353";"1601";"1752";"473";"283";"190";"887";"535";"352";"1993";"783";"1210"
"2015 week 5";"3322";"1515";"1807";"417";"223";"194";"902";"534";"368";"2003";"758";"1245"
"2015 week 6";"3272";"1563";"1709";"447";"258";"189";"897";"536";"361";"1928";"769";"1159"
"2015 week 7";"3311";"1564";"1747";"432";"257";"175";"928";"534";"394";"1951";"773";"1178"
"2015 week 8";"3381";"1589";"1792";"454";"260";"194";"930";"539";"391";"1997";"790";"1207"
"2015 week 9";"3207";"1504";"1703";"416";"246";"170";"884";"507";"377";"1907";"751";"1156"
"2015 week 10";"3222";"1504";"1718";"452";"250";"202";"885";"515";"370";"1885";"739";"1146"
"2015 week 11";"3086";"1459";"1627";"442";"260";"182";"895";"541";"354";"1749";"658";"1091"
"2015 week 12";"3052";"1483";"1569";"478";"261";"217";"866";"519";"347";"1708";"703";"1005"
"2015 week 13";"3084";"1461";"1623";"421";"236";"185";"884";"527";"357";"1779";"698";"1081"
"2015 week 14";"2839";"1399";"1440";"402";"230";"172";"856";"508";"348";"1581";"661";"920"
"2015 week 15";"2888";"1382";"1506";"431";"248";"183";"831";"477";"354";"1626";"657";"969"
"2015 week 16";"2893";"1437";"1456";"430";"262";"168";"860";"515";"345";"1603";"660";"943"
"2015 week 17";"2829";"1322";"1507";"429";"232";"197";"831";"470";"361";"1569";"620";"949"
"2015 week 18";"2674";"1303";"1371";"402";"242";"160";"839";"501";"338";"1433";"560";"873"
"2015 week 19";"2741";"1300";"1441";"434";"250";"184";"787";"449";"338";"1520";"601";"919"
"2015 week 20";"2721";"1315";"1406";"410";"235";"175";"838";"483";"355";"1473";"597";"876"
"2015 week 21";"2566";"1226";"1340";"388";"214";"174";"754";"444";"310";"1424";"568";"856"
"2015 week 22";"2660";"1326";"1334";"433";"249";"184";"801";"470";"331";"1426";"607";"819"
"2015 week 23";"2595";"1261";"1334";"398";"230";"168";"775";"464";"311";"1422";"567";"855"
"2015 week 24";"2680";"1317";"1363";"363";"206";"157";"860";"501";"359";"1457";"610";"847"
"2015 week 25";"2559";"1226";"1333";"384";"228";"156";"805";"461";"344";"1370";"537";"833"
"2015 week 26";"2547";"1245";"1302";"403";"226";"177";"782";"455";"327";"1362";"564";"798"
